initial_cards,result,deng,point,hit_card,action_type,action_known_cards
"Th, 6c",-2,1,0,4s,HIT,"3d, 6d"
"2s, Tc",1,1,9,7h,HIT,"3d, 6d"
"6s, As",2,2,7,,STAY,"3d, 6d"
"3d, 6d",2,2,109,,,
"Tc, Jd",-1,1,4,4s,HIT,"5c, 3d, 9d, Qc"
"5c, 3d",1,1,108,,,
"9d, Qc",1,1,109,,,
"8h, 8d",-1,1,2,6d,HIT,"5c, 3d, 9d, Qc"
"Qc, 8h",1,1,108,,,
"Ks, 4c",1,1,4,,STAY,"Qc, 8h"
"3d, 7h",-2,1,0,,STAY,"Qc, 8h"
"2h, Ad",1,1,3,,STAY,"Qc, 8h"
"4c, 4s",2,2,108,,,
"6d, Qc",0,1,6,,STAY,"4c, 4s"
"3s, Ac",-1,1,4,,STAY,"4c, 4s"
"7s, Td",1,1,8,Ad,HIT,"4c, 4s"
"4s, Jh",1,1,4,,STAY,"7d, Ac"
"7c, Qs",1,1,5,8c,HIT,"7d, Ac"
"Qd, 2c",1,1,2,,STAY,"7d, Ac"
"7d, Ac",1,1,108,,,
